Domain Code;Domain;Area Code (M49);Area;NUTS_ID;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;950.7;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;944.5;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;938.3;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;932;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;925.8;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;919.6;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;913.4;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;907.1;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;900.9;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;894.7;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;884.8;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;875;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;865.1;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;865.1;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;871;I;Imputed value;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;842.6;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2017;2017;1000 ha;842.6;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2018;2018;1000 ha;824.94;I;Imputed value;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2019;2019;1000 ha;807.28;I;Imputed value;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2020;2020;1000 ha;789.62;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2021;2021;1000 ha;754.209;A;Official figure;
RL;Land Use;40;Austria;AT;5110;Area;6656;Perm. meadows & pastures - Cultivated;2022;2022;1000 ha;754.209;I;Imputed value;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;2269;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;2269;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;2274;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;2272;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;2270;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;2272;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;2251;I;Imputed value;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;2252;I;Imputed value;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;2233;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;2218;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;2208;A;Official figure;
RL;Land Use;112;Belarus;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;2145;I;Imputed value;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;376;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;382;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;384;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;370;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;368;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;357;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;350;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;261;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;197;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;200;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;187;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;200;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;195;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;193;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;255;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;226;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2017;2017;1000 ha;235;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2018;2018;1000 ha;213;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2019;2019;1000 ha;206.687;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2020;2020;1000 ha;222.405;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2021;2021;1000 ha;234;A;Official figure;
RL;Land Use;208;Denmark;DK;5110;Area;6656;Perm. meadows & pastures - Cultivated;2022;2022;1000 ha;233;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;171;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;168.6;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;143;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;137.3;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;146;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;124;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;124.3;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;107.4;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;111.1;A;Official figure;
RL;Land Use;233;Estonia;EE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;159.3;A;Official figure;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;7.232;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;7.236;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;7.236;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;7.236;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;7.236;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;7.236;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;7.236;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;7.236;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;7.226;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;7.225;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;7.225;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;7.225;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;7.225;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;7.227;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;7.227;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;7.221;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2017;2017;1000 ha;7.221;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2018;2018;1000 ha;7.22;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2019;2019;1000 ha;7.22;I;Imputed value;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2020;2020;1000 ha;7.2;A;Official figure;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2021;2021;1000 ha;7;A;Official figure;
RL;Land Use;234;Faroe Islands;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2022;2022;1000 ha;7;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;7805.4;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;7724.8;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;7697.7;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;7644.4;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;7613.6;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;7564.1;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;7503.3;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;7458.8;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;7425.1;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;7308.6;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;7293.4;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;7221.8;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;7072.4;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;6990;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;2702;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;1706;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;1763;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;1688;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2017;2017;1000 ha;1784.145;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2018;2018;1000 ha;1688.5148;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2019;2019;1000 ha;1582.501;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2020;2020;1000 ha;1803.8774;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2021;2021;1000 ha;1859.59;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2022;2022;1000 ha;1860;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;65;A;Official figure;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;85;A;Official figure;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;87;A;Official figure;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;71;A;Official figure;
RL;Land Use;352;Iceland;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;154;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;3435.8;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;3380.8;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;3368.77;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;3327.35;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;3339.31;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;3318.92;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;3352.55;I;Imputed value;
