NUTS_ID;name;2017-2018 temporary grassland surface (ha);coefficients;source;
UKC;NE England;31571;0.0274053819444444;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKD;NW England;75238;0.0653107638888889;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKE;Yorkshire and Humber;54563;0.0473637152777778;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKF;East Midland England;57400;0.0498263888888889;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKG;West Midlands England;95574;0.0829635416666667;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKH;East England;44892;0.03896875;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKI;London;0;0;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKJ;Saout East England;78433;0.0680842013888889;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKK;South West England;218741;0.189879340277778;https://www.gov.uk/government/statistical-data-sets/structure-of-the-agricultural-industry-in-england-and-the-uk-at-june#full-publication-update-history;
UKL;Wales;154000;0.133680555555556;https://www.gov.wales/sites/default/files/publications/2024-09/grass-growth-classes.pdf;
UKM;Scotland;206254;0.179039930555556;https://www.gov.scot/publications/pesticide-usage-scotland-grassland-fodder-crops-2021/pages/20/;
UKN;Northern Ireland;135335;0.117478298611111;;
UK;United Kingdom;1152000;;EuropeAgriDB (Einarsson et al.. 2021);
;;2018 clover surface (ha);;;
RO11;Nord-Vest Romania;34383;0.307721910967118;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;
RO12;Centru Romania;14137;0.126523708092434;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;
RO21;Nord-Est Romania;32780;0.293375337855979;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;
RO22;Sud-Est Romania;687;0.00614853133334527;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;
RO31;Sud - Muntenia Romania;4581;0.0409991587162368;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;
RO32;Bucureşti - Ilfov;305;0.00272969731684178;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;
RO41;Sud-Vest Oltenia;2509;0.0224551166162493;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;
RO42;Vest Romania;22352;0.200046539101795;http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table;